"","vote_2020","gender","education","state","household_income","race_ethnicity","census_region","employment","vote_intention","registration","age_group"
"2404","0","Female","Completed some college, but no degree","FL","$15,000 to $19,999","Other","South","Employed","Yes, I will vote","Registered","ages45to59"
"2405","1","Male","High school graduate","MI","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2406","1","Male","Completed some college, but no degree","HI","$45,000 to $49,999","Other asian or pacific islander","West","Employed","Yes, I will vote","Registered","ages18to29"
"2407","1","Male","Masters degree","IN","$40,000 to $44,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2408","1","Male","Completed some college, but no degree","GA","Less than $14,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2409","0","Female","Masters degree","GA","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2410","1","Male","Masters degree","CT","$200,000 to $249,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2411","1","Female","College Degree (such as B.A., B.S.)","PA","$55,000 to $59,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2412","0","Female","College Degree (such as B.A., B.S.)","CA","$100,000 to $124,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2413","1","Male","High school graduate","NC","$15,000 to $19,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2414","1","Male","Masters degree","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2415","0","Male","Doctorate degree","MA","$250,000 and above","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2416","1","Female","College Degree (such as B.A., B.S.)","MD","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2417","0","Female","Associate Degree","OH","$15,000 to $19,999","Black, or African American","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2418","1","Female","Completed some graduate, but no degree","NY","$50,000 to $54,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2419","0","Male","Masters degree","TN","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2420","0","Female","Masters degree","GA","$50,000 to $54,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2421","1","Male","Doctorate degree","WA","$200,000 to $249,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2422","0","Female","Completed some high school","FL","Less than $14,999","Black, or African American","South","Not in labor force","Yes, I will vote","Registered","ages30to44"
"2423","0","Male","College Degree (such as B.A., B.S.)","NC","$45,000 to $49,999","Other","South","Employed","Yes, I will vote","Registered","ages30to44"
"2424","1","Female","High school graduate","WV","$75,000 to $79,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2425","1","Female","Masters degree","FL","$200,000 to $249,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2426","0","Female","High school graduate","MN","$15,000 to $19,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2427","1","Female","Completed some college, but no degree","IN","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2428","0","Female","Completed some college, but no degree","OH","$15,000 to $19,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2429","0","Female","Masters degree","FL","$125,000 to $149,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"2430","0","Female","Associate Degree","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2431","1","Female","College Degree (such as B.A., B.S.)","ME","Less than $14,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2432","0","Female","Completed some college, but no degree","FL","$80,000 to $84,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2433","1","Female","High school graduate","RI","$20,000 to $24,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2434","1","Female","Associate Degree","VA","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2435","1","Female","Masters degree","PA","$60,000 to $64,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2436","1","Female","Completed some college, but no degree","OH","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2437","1","Female","College Degree (such as B.A., B.S.)","PA","$50,000 to $54,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2438","1","Female","Completed some college, but no degree","VA","$100,000 to $124,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2439","1","Female","Completed some college, but no degree","IL","Less than $14,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2440","0","Female","College Degree (such as B.A., B.S.)","KY","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2441","0","Male","College Degree (such as B.A., B.S.)","SC","$80,000 to $84,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"2442","1","Male","Completed some high school","CO","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2443","1","Male","College Degree (such as B.A., B.S.)","CO","$95,000 to $99,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2444","0","Male","Masters degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2445","1","Female","High school graduate","NY","$50,000 to $54,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2446","0","Female","College Degree (such as B.A., B.S.)","KS","$45,000 to $49,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2447","1","Male","College Degree (such as B.A., B.S.)","PA","$50,000 to $54,999","Chinese","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"2448","0","Male","Completed some college, but no degree","DE","$35,000 to $39,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2449","0","Male","Masters degree","TX","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2450","1","Male","Associate Degree","NC","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2451","1","Male","Doctorate degree","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2452","1","Male","Completed some high school","WV","$40,000 to $44,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"2453","1","Female","College Degree (such as B.A., B.S.)","MD","$100,000 to $124,999","Other asian or pacific islander","South","Employed","Yes, I will vote","Registered","ages30to44"
"2454","0","Male","College Degree (such as B.A., B.S.)","VT","$175,000 to $199,999","Japanese","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"2455","0","Male","Completed some college, but no degree","NC","$45,000 to $49,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2456","1","Male","Completed some graduate, but no degree","WI","$250,000 and above","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2457","0","Female","Associate Degree","IL","$30,000 to $34,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2458","1","Male","Associate Degree","SC","$85,000 to $89,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2459","0","Female","College Degree (such as B.A., B.S.)","IL","$25,000 to $29,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"2460","1","Male","Completed some college, but no degree","PA","$75,000 to $79,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2461","0","Male","College Degree (such as B.A., B.S.)","MN","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2462","1","Female","Completed some high school","TX","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2463","0","Male","High school graduate","IL","$45,000 to $49,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2464","1","Male","Completed some graduate, but no degree","MO","$45,000 to $49,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2465","0","Male","Doctorate degree","NC","$20,000 to $24,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2466","0","Male","Other post high school vocational training","WV","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2467","0","Male","High school graduate","OH","$20,000 to $24,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2468","0","Male","College Degree (such as B.A., B.S.)","NJ","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2469","1","Male","Masters degree","NY","$250,000 and above","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2470","1","Male","College Degree (such as B.A., B.S.)","NY","$35,000 to $39,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2471","1","Male","College Degree (such as B.A., B.S.)","IL","$45,000 to $49,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2472","0","Male","Completed some high school","CA","$90,000 to $94,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2473","1","Male","Masters degree","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2474","0","Male","College Degree (such as B.A., B.S.)","OH","$95,000 to $99,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2475","1","Female","High school graduate","KY","$250,000 and above","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2476","1","Male","College Degree (such as B.A., B.S.)","OH","$65,000 to $69,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2477","1","Female","College Degree (such as B.A., B.S.)","MI","$70,000 to $74,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2478","1","Female","High school graduate","AL","$40,000 to $44,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2479","1","Male","College Degree (such as B.A., B.S.)","NY","$60,000 to $64,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2480","1","Male","Doctorate degree","OH","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2481","0","Male","Doctorate degree","VA","$200,000 to $249,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2482","0","Female","Completed some college, but no degree","OH","Less than $14,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2483","0","Male","Completed some college, but no degree","TX","$65,000 to $69,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2484","1","Male","Masters degree","NJ","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"2485","1","Male","Masters degree","VA","$60,000 to $64,999","Other","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2486","1","Male","Masters degree","ID","$50,000 to $54,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2487","0","Male","Completed some high school","CA","Less than $14,999","Black, or African American","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2488","1","Female","Completed some college, but no degree","SC","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2489","0","Male","College Degree (such as B.A., B.S.)","AZ","$85,000 to $89,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2490","1","Male","College Degree (such as B.A., B.S.)","CA","$250,000 and above","White","West","Employed","Not sure","Registered","ages45to59"
"2491","0","Male","College Degree (such as B.A., B.S.)","WA","Less than $14,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"2492","1","Male","Other post high school vocational training","NJ","$20,000 to $24,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2493","0","Male","High school graduate","WI","$20,000 to $24,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2494","1","Male","High school graduate","GA","$80,000 to $84,999","American Indian or Alaska Native","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2495","0","Male","College Degree (such as B.A., B.S.)","HI","$75,000 to $79,999","Japanese","West","Employed","Yes, I will vote","Registered","ages60plus"
"2496","0","Male","Completed some college, but no degree","IN","$25,000 to $29,999","Other asian or pacific islander","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2497","0","Male","Completed some college, but no degree","OH","$90,000 to $94,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2498","1","Male","College Degree (such as B.A., B.S.)","TX","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"2499","0","Male","College Degree (such as B.A., B.S.)","NY","Less than $14,999","White","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"2500","1","Female","Completed some college, but no degree","TN","$20,000 to $24,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2501","1","Male","College Degree (such as B.A., B.S.)","FL","$50,000 to $54,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2502","1","Male","Masters degree","SC","$60,000 to $64,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2503","1","Female","Associate Degree","KY","$15,000 to $19,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2504","1","Male","High school graduate","IN","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2505","1","Female","Associate Degree","OH","$30,000 to $34,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2506","1","Male","College Degree (such as B.A., B.S.)","MI","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2507","1","Male","High school graduate","OH","$25,000 to $29,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2508","0","Female","Other post high school vocational training","VT","$75,000 to $79,999","White","Northeast","Employed","Not sure","Registered","ages30to44"
"2509","1","Male","Associate Degree","CA","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2510","1","Female","College Degree (such as B.A., B.S.)","OH","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2511","0","Female","High school graduate","IN","$25,000 to $29,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2512","0","Female","College Degree (such as B.A., B.S.)","IL","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages18to29"
"2513","0","Male","Associate Degree","WA","$35,000 to $39,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2514","1","Male","Completed some college, but no degree","GA","$15,000 to $19,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"2515","0","Male","Completed some college, but no degree","IL","Less than $14,999","Black, or African American","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2516","1","Female","High school graduate","WA","$80,000 to $84,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"2517","0","Male","Masters degree","AR","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"2518","0","Male","College Degree (such as B.A., B.S.)","NY","$200,000 to $249,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2519","0","Female","Completed some graduate, but no degree","MD","$25,000 to $29,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2520","0","Female","Masters degree","ME","$70,000 to $74,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2521","1","Male","Completed some high school","TN","Less than $14,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2522","1","Female","High school graduate","MD","$25,000 to $29,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2523","0","Male","Associate Degree","MI","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2524","0","Female","College Degree (such as B.A., B.S.)","NJ","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2525","1","Female","Masters degree","WA","Less than $14,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2526","1","Female","Associate Degree","MA","$175,000 to $199,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2527","0","Female","High school graduate","OH","$75,000 to $79,999","American Indian or Alaska Native","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2528","0","Female","High school graduate","AL","$35,000 to $39,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages30to44"
"2529","1","Female","Masters degree","NY","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2530","0","Female","Completed some college, but no degree","AZ","$40,000 to $44,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2531","0","Female","Other post high school vocational training","WI","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2532","0","Male","College Degree (such as B.A., B.S.)","MI","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2533","1","Male","Masters degree","NC","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2534","1","Female","Associate Degree","IL","$20,000 to $24,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2535","1","Female","Completed some college, but no degree","VA","$20,000 to $24,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2536","0","Female","College Degree (such as B.A., B.S.)","VT","$60,000 to $64,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"2537","0","Male","College Degree (such as B.A., B.S.)","CA","$75,000 to $79,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2538","0","Female","Completed some college, but no degree","TX","$25,000 to $29,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages30to44"
"2539","1","Male","Completed some college, but no degree","PA","$50,000 to $54,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2540","1","Male","Masters degree","CA","$80,000 to $84,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2541","0","Male","Completed some college, but no degree","CA","$45,000 to $49,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"2542","1","Male","College Degree (such as B.A., B.S.)","MN","$70,000 to $74,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2543","0","Male","Masters degree","FL","$80,000 to $84,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2544","0","Male","Masters degree","VA","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2545","1","Female","Completed some college, but no degree","TX","Less than $14,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2546","0","Female","College Degree (such as B.A., B.S.)","CA","$100,000 to $124,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2547","1","Male","College Degree (such as B.A., B.S.)","SC","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2548","0","Male","High school graduate","IL","Less than $14,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2549","1","Male","Masters degree","HI","$150,000 to $174,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2550","1","Male","College Degree (such as B.A., B.S.)","NC","$95,000 to $99,999","Black, or African American","South","Employed","Not sure","Registered","ages18to29"
"2551","0","Female","Completed some college, but no degree","CA","$125,000 to $149,999","White","West","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2552","1","Female","Completed some high school","NJ","$35,000 to $39,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2553","0","Male","Associate Degree","VA","$70,000 to $74,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"2554","0","Male","Completed some college, but no degree","IN","$60,000 to $64,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2555","0","Female","College Degree (such as B.A., B.S.)","WV","Less than $14,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"2556","0","Male","Completed some graduate, but no degree","MD","$95,000 to $99,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"2557","0","Female","Completed some college, but no degree","OH","Less than $14,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2558","1","Male","Masters degree","NY","$250,000 and above","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"2559","1","Male","Masters degree","KS","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2560","1","Female","Associate Degree","PA","$55,000 to $59,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"2561","0","Female","Completed some college, but no degree","IN","$90,000 to $94,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages18to29"
"2562","0","Female","High school graduate","WI","$65,000 to $69,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2563","1","Male","High school graduate","IN","$40,000 to $44,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2564","0","Male","High school graduate","MI","$25,000 to $29,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2565","1","Male","Doctorate degree","CA","$200,000 to $249,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2566","0","Male","College Degree (such as B.A., B.S.)","OR","$20,000 to $24,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2567","0","Male","College Degree (such as B.A., B.S.)","NY","$70,000 to $74,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2568","1","Male","Associate Degree","PA","$35,000 to $39,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2569","0","Female","High school graduate","DC","$20,000 to $24,999","Black, or African American","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2570","0","Male","Associate Degree","GA","$25,000 to $29,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"2571","1","Male","College Degree (such as B.A., B.S.)","IL","$60,000 to $64,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2572","1","Male","Completed some graduate, but no degree","CO","$85,000 to $89,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2573","1","Male","Masters degree","CA","$75,000 to $79,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2574","0","Male","Completed some college, but no degree","FL","$50,000 to $54,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2575","0","Male","Completed some college, but no degree","KY","$40,000 to $44,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2576","1","Male","College Degree (such as B.A., B.S.)","OK","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2577","0","Female","College Degree (such as B.A., B.S.)","MA","$95,000 to $99,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"2578","1","Male","High school graduate","NY","$30,000 to $34,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2579","1","Male","Masters degree","CA","$100,000 to $124,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2580","1","Male","College Degree (such as B.A., B.S.)","NC","$95,000 to $99,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"2581","0","Female","Completed some college, but no degree","IA","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2582","0","Male","Other post high school vocational training","UT","$35,000 to $39,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2583","1","Female","Completed some college, but no degree","IL","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2584","1","Female","College Degree (such as B.A., B.S.)","FL","$15,000 to $19,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2585","0","Male","High school graduate","WA","$25,000 to $29,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"2586","0","Female","College Degree (such as B.A., B.S.)","MN","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"2587","1","Female","College Degree (such as B.A., B.S.)","AZ","$125,000 to $149,999","Other asian or pacific islander","West","Employed","Yes, I will vote","Registered","ages30to44"
"2588","0","Male","Other post high school vocational training","CA","$20,000 to $24,999","Other","West","Employed","Yes, I will vote","Registered","ages18to29"
"2589","0","Male","Completed some college, but no degree","CA","$25,000 to $29,999","Black, or African American","West","Employed","Yes, I will vote","Registered","ages30to44"
"2590","0","Female","Other post high school vocational training","TX","$55,000 to $59,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages45to59"
"2591","1","Male","College Degree (such as B.A., B.S.)","CA","$75,000 to $79,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2592","1","Female","College Degree (such as B.A., B.S.)","WA","$40,000 to $44,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2593","1","Female","Completed some college, but no degree","TX","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2594","1","Male","High school graduate","CO","$15,000 to $19,999","White","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"2595","0","Female","College Degree (such as B.A., B.S.)","NY","$50,000 to $54,999","Other","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"2596","1","Male","Completed some college, but no degree","AZ","$75,000 to $79,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2597","0","Male","Masters degree","NY","$100,000 to $124,999","Black, or African American","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"2598","0","Female","High school graduate","NJ","$45,000 to $49,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2599","1","Female","Completed some graduate, but no degree","MA","Less than $14,999","Other","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2600","0","Male","Masters degree","OR","$50,000 to $54,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"2601","1","Female","Masters degree","MO","$200,000 to $249,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages30to44"
"2602","1","Female","High school graduate","FL","$25,000 to $29,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2603","1","Male","Masters degree","VA","$250,000 and above","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2604","0","Female","College Degree (such as B.A., B.S.)","NV","$45,000 to $49,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"2605","1","Female","College Degree (such as B.A., B.S.)","FL","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2606","0","Male","College Degree (such as B.A., B.S.)","PA","$25,000 to $29,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2607","0","Female","Completed some college, but no degree","FL","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2608","1","Female","College Degree (such as B.A., B.S.)","MD","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2609","0","Female","Associate Degree","LA","$55,000 to $59,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2610","1","Male","College Degree (such as B.A., B.S.)","TX","$55,000 to $59,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"2611","1","Female","High school graduate","AR","$20,000 to $24,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"2612","0","Female","Other post high school vocational training","IL","$60,000 to $64,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"2613","0","Female","College Degree (such as B.A., B.S.)","FL","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"2614","0","Female","College Degree (such as B.A., B.S.)","CA","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"2615","1","Male","Doctorate degree","NY","$250,000 and above","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"2616","1","Female","Other post high school vocational training","CA","$125,000 to $149,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"2617","0","Male","Masters degree","DC","$125,000 to $149,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
